|id |transaction_time   |merchant_name             |description                               |type|amount|status       |transaction_id                  |merchant_order_id                          |payment_method|source|created_at         |result_amount|
|---|-------------------|--------------------------|------------------------------------------|----|------|-------------|--------------------------------|-------------------------------------------|--------------|------|-------------------|-------------|
|216|2025-01-01 02:06:50|招商财富宝A                    |余额宝-2024.12.31-收益发放                       |收入  |2.33  |交易成功         |20250101341332026511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.33         |
|215|2025-01-01 12:39:41|黄佳妮                       |亲情卡                                       |支出  |83.42 |交易成功         |2025010104200131001087899449    |2025010122001196311448769935               |              |支付宝   |2025-03-19 11:56:34|-83.42       |
|214|2025-01-02 02:28:51|招商财富宝A                    |余额宝-2025.01.01-收益发放                       |收入  |2.26  |交易成功         |20250102342995746511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.26         |
|213|2025-01-02 12:05:01|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010223001453511430608217    |D120250102120500566267                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|212|2025-01-02 12:09:22|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025010222001453511431346069    |1920180330024764010461368605541299841608004|              |支付宝   |2025-03-19 11:56:34|-15          |
|211|2025-01-02 23:25:39|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010223001453511435920896    |D120250102232539755002                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|210|2025-01-03 02:08:42|招商财富宝A                    |余额宝-2025.01.02-收益发放                       |收入  |2.74  |交易成功         |20250103347742094511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.74         |
|209|2025-01-03 12:00:30|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010323001453511437007370    |D120250103120030889969                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|208|2025-01-03 12:34:15|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025010322001453511437126738    |0120180330024764010461368605543099956708004|              |支付宝   |2025-03-19 11:56:34|-15          |
|258|2025-01-03 19:20:55|广晏家生料王                    |广晏家生料王                                    |支出  |45.5  |美团月付         |25010311100301670008804097108753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-45.5        |
|207|2025-01-04 00:39:31|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010423001453511437040490    |D120250104003931103942                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|206|2025-01-04 02:16:40|招商财富宝A                    |余额宝-2025.01.03-收益发放                       |收入  |2.54  |交易成功         |20250104354049212511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.54         |
|205|2025-01-05 02:13:37|招商财富宝A                    |余额宝-2025.01.04-收益发放                       |收入  |2.12  |交易成功         |20250105359358679511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.12         |
